post_id,data,hora,conta,tipo_post,tema,visualizacoes,alcance,curtida,comentarios,compartilhamentos,salvamentos,seguidores,engajamento,taxa_engajamento
1,2026-01-12,09:49,conta_B,imagem,evento,1081,,40,9,0,0,,49,
2,2026-02-13,12:34,conta_A,reels,institucional,848,481.0,24,3,4,0,1.0,31,0.0644490644490644
3,2026-03-06,13:00,conta_A,carrossel,institucional,534,211.0,25,1,4,2,0.0,32,0.1516587677725118
4,2026-03-24,15:00,conta_A,carrossel,institucional,411,161.0,14,0,4,0,0.0,18,0.1118012422360248
5,2026-03-25,12:00,conta_A,carrossel,educacional,373,179.0,15,0,3,2,1.0,20,0.1117318435754189
6,2026-03-27,08:30,conta_A,carrossel,educacional,285,164.0,10,0,1,0,0.0,11,0.0670731707317073
7,2026-03-31,05:30,conta_A,carrossel,educacional,339,161.0,12,0,1,0,0.0,13,0.0807453416149068
8,2026-04-10,12:01,conta_A,carrossel,educacional,320,130.0,9,0,0,0,0.0,9,0.0692307692307692
9,2026-05-11,11:08,conta_A,carrossel,comercial,689,250.0,10,0,8,0,0.0,18,0.072
10,2026-06-12,10:00,conta_A,carrossel,reforma tributaria,503,301.0,9,0,1,0,0.0,10,0.0332225913621262
11,2026-06-30,09:56,conta_C,reels,comercial,583,,22,1,4,0,,27,
12,2026-07-03,09:00,conta_A,imagem,educacional,191,97.0,3,0,1,1,0.0,5,0.0515463917525773
13,2026-07-09,05:00,conta_A,imagem,educacional,211,114.0,10,0,1,0,0.0,11,0.0964912280701754
14,2026-07-29,05:00,conta_A,carrossel,evento,933,403.0,13,0,2,0,0.0,15,0.0372208436724565
15,2026-08-05,14:05,conta_B,carrossel,evento,799,,31,5,1,0,,37,
16,2026-08-11,07:37,conta_A,reels,evento,330,208.0,20,1,3,0,0.0,24,0.1153846153846153
17,2026-08-11,11:30,conta_A,imagem,jurídico,157,76.0,10,2,0,0,0.0,12,0.1578947368421052
18,2026-08-14,07:16,conta_A,imagem,reforma tributaria,474,106.0,3,0,0,0,0.0,3,0.0283018867924528
19,2026-09-01,11:00,conta_A,carrossel,jurídico,185,79.0,7,0,0,1,0.0,8,0.1012658227848101
