post_id;data;hora;conta;tipo_post;tema;visualizacoes;alcance;curtida;comentarios;compartilhamentos;salvamentos;seguidores;engajamento;taxa_engajamento
1;12/01/2026;09:49;conta_B;imagem;evento;1081,00;;40,00;9,00;0,00;0,00;;49,00;
2;13/02/2026;12:34;conta_A;reels;institucional;848,00;481,00;24,00;3,00;4,00;0,00;1,00;31,00;6,44%
3;06/03/2026;13:00;conta_A;carrossel;institucional;534,00;211,00;25,00;1,00;4,00;2,00;0,00;32,00;15,17%
4;24/03/2026;15:00;conta_A;carrossel;institucional;411,00;161,00;14,00;0,00;4,00;0,00;0,00;18,00;11,18%
5;25/03/2026;12:00;conta_A;carrossel;educacional;373,00;179,00;15,00;0,00;3,00;2,00;1,00;20,00;11,17%
6;27/03/2026;08:30;conta_A;carrossel;educacional;285,00;164,00;10,00;0,00;1,00;0,00;0,00;11,00;6,71%
7;31/03/2026;05:30;conta_A;carrossel;educacional;339,00;161,00;12,00;0,00;1,00;0,00;0,00;13,00;8,07%
8;10/04/2026;12:01;conta_A;carrossel;educacional;320,00;130,00;9,00;0,00;0,00;0,00;0,00;9,00;6,92%
9;11/05/2026;11:08;conta_A;carrossel;comercial;689,00;250,00;10,00;0,00;8,00;0,00;0,00;18,00;7,20%
10;12/06/2026;10:00;conta_A;carrossel;reforma tributaria;503,00;301,00;9,00;0,00;1,00;0,00;0,00;10,00;3,32%
11;30/06/2026;09:56;conta_C;reels;comercial;583,00;;22,00;1,00;4,00;0,00;;27,00;
12;03/07/2026;09:00;conta_A;imagem;educacional;191,00;97,00;3,00;0,00;1,00;1,00;0,00;5,00;5,15%
13;09/07/2026;05:00;conta_A;imagem;educacional;211,00;114,00;10,00;0,00;1,00;0,00;0,00;11,00;9,65%
14;29/07/2026;05:00;conta_A;carrossel;evento;933,00;403,00;13,00;0,00;2,00;0,00;0,00;15,00;3,72%
15;05/08/2026;14:05;conta_B;carrossel;evento;799,00;;31,00;5,00;1,00;0,00;;37,00;
16;11/08/2026;07:37;conta_A;reels;evento;330,00;208,00;20,00;1,00;3,00;0,00;0,00;24,00;11,54%
17;11/08/2026;11:30;conta_A;imagem;jurídico;157,00;76,00;10,00;2,00;0,00;0,00;0,00;12,00;15,79%
18;14/08/2026;07:16;conta_A;imagem;reforma tributaria;474,00;106,00;3,00;0,00;0,00;0,00;0,00;3,00;2,83%
19;01/09/2026;11:00;conta_A;carrossel;jurídico;185,00;79,00;7,00;0,00;0,00;1,00;0,00;8,00;10,13%
;;;;;;;;;;;;;;
